Name,Gender,Usage,Meaning
BRIANA,f,English,"Feminine form of BRIAN. This name was used by Edmund Spenser in The Faerie Queene (1590). The name was not commonly used until the 1970s, when it rapidly became popular in the United States."
BRIANNA,f,English,Variant of BRIANA.
BRIANNE,f,English (Modern),Feminine form of BRIAN.
BRIAR,m & f,English (Modern),From the English word for the thorny plant.
BRICE,m,"French, English","From the name Bricius, which was probably a Latinized form of a Gaulish name meaning ""speckled"". This was the name of a 5th-century saint, a disciple of Saint Martin of Tours."
BRIDGER,m,English (Modern),From an English surname that originally indicated a person who lived near or worked on a bridge.
BRIDGET,f,"Irish, English, Irish Mythology","Anglicized form of the Irish name Brighid meaning ""exalted one"". In Irish mythology this was the name of the goddess of fire, poetry and wisdom, the daughter of the god Dagda. In the 5th century it was borne by Saint Brigid, the founder of a monastery at Kildare and a patron saint of Ireland. Because of the saint, the name was considered sacred in Ireland, and it did not come into general use there until the 17th century. In the form Birgitta this name has been common in Scandinavia, made popular by the 14th-century Saint Birgitta of Sweden, patron saint of Europe."
BRIDGETTE,f,English,Variant of BRIDGET.
BRIELLA,f,English (Modern),Short form of GABRIELLA.
BRIELLE,f,English (Modern),"Short form of GABRIELLE. This is also the name of towns in the Netherlands and New Jersey, though their names derive from a different source."
BRIGHAM,m,English (Rare),"From a surname that was originally derived from place names meaning ""bridge settlement"" in Old English."
BRINLEY,f,English (Modern),"From an English surname that was taken from the name of a town meaning ""burned clearing"" in Old English."
BRION,m,English,Variant of BRIAN.
BRIONY,f,English (Rare),Variant of BRYONY.
BRISCOE,m,English (Rare),"From a surname that was derived from a place name meaning ""birch wood"" in Old Norse."
BRISTOL,f,English (Modern),"From the name of the city in southwest England that means ""the site of the bridge""."
BRITANNIA,f,English (Rare),"From the Latin name of the island of Britain, in occasional use as an English given name since the 18th century. This is also the name of the Roman female personification of Britain pictured on some British coins."
BRITNEY,f,English (Modern),Variant of BRITTANY.
BRITTANI,f,English (Modern),Variant of BRITTANY.
BRITTANIA,f,English (Rare),Variant of BRITANNIA.
BRITTANY,f,English,"From the name of the region in the northwest of France, called in French Bretagne. It was named for the Britons who settled there after the fall of the Western Roman Empire and the invasions of the Anglo-Saxons.... [more]"
BRITTNEY,f,English (Modern),Variant of BRITTANY.
BRITTNY,f,English (Modern),Variant of BRITTANY.
BRITTON,m,English,"Derived from a Middle English surname meaning ""a Briton"" (a Celt of England) or ""a Breton"" (an inhabitant of Brittany)."
BROCK,m,English,"From a surname that was derived from Old English brocc meaning ""badger""."
BRODIE,m,English (Modern),Variant of BRODY.
BRODY,m,English,"From a surname that was originally derived from a place in Moray, Scotland. It probably means ""ditch, mire"" in Gaelic."
BRONTE,m & f,English (Rare),"From a surname, an Anglicized form of Irish Ó Proinntigh meaning ""descendant of Proinnteach"". The given name Proinnteach meant ""bestower"" in Gaelic. The Brontë sisters - Charlotte, Emily, and Anne - were 19th-century English novelists. Their father changed the spelling of the family surname from Brunty to Brontë, possibly to make it coincide with Greek βροντή meaning ""thunder""."
BROOK,m & f,English,From an English surname that denoted one who lived near a brook.
BROOKE,f,English,"Variant of BROOK. The name came into use in the 1950s, probably influenced by American socialite Brooke Astor (1902-2007). It was further popularized by actress Brooke Shields (1965-)."
BROOKLYN,f & m,English (Modern),"From the name of a borough of New York City, originally named after the Dutch town of Breukelen, itself meaning either ""broken land"" (from Dutch breuk) or ""marsh land"" (from Dutch broek). It can also be viewed as a combination of BROOK and the popular name suffix lyn. It is considered a feminine name in the United States, but is more common as a masculine name in the United Kingdom."
BROOKLYNN,f,English (Modern),Variant of BROOKLYN.
BROOKS,m,English,"From an English surname, a variant of BROOK."
BRUCE,m,"Scottish, English","From a Scottish surname, of Norman origin, which probably originally referred to the town of Brix in France. The surname was borne by Robert the Bruce, a Scottish hero of the 14th century who achieved independence from England and became the king of Scotland. It has been in use as a given name in the English-speaking world since the 19th century. A notable bearer is the American musician Bruce Springsteen (1949-)."
BRYAN,m,English,Variant of BRIAN.
BRYANA,f,English (Modern),Variant of BRIANA.
BRYANNA,f,English (Modern),Variant of BRIANA.
BRYANNE,f,English (Rare),Feminine form of BRIAN.
BRYANT,m,English,From a surname that was derived from the given name BRIAN.
BRYCE,m,English,Variant of BRICE.
BRYCEN,m,English (Modern),Variant of BRYSON.
BRYN,m & f,"Welsh, English","Means ""hill, mound"" in Welsh. It is now used as a feminine name as well."
BRYNLEE,f,English (Modern),Combination of BRYN and the popular name suffix lee. It could also be considered a variant of BRINLEY.
BRYNN,f,English (Modern),Feminine variant of BRYN.
BRYNNE,f,English (Rare),Feminine variant of BRYN.
BRYON,m,English,Variant of BRIAN.
BRYONY,f,English (Rare),"From the name of a type of Eurasian vine, formerly used as medicine. It ultimately derives from Greek βρύω (bryo) meaning ""to swell""."
BRYSON,m,English,"From an English surname meaning ""son of BRICE""."
BUCK,m,English,"From an English nickname meaning simply ""buck, male deer"", ultimately from Old English bucc."
BUD,m,English,Short form of BUDDY.
BUDDY,m,English,"From the English word meaning ""friend"". It probably originated as a nursery form of the word brother."
BUFFY,f,English,"Diminutive of ELIZABETH, from a child's pronunciation of the final syllable. It is now associated with the main character from the television series Buffy the Vampire Slayer (1997-2003)."
BUNNY,f,English,Diminutive of BERENICE.
BURGUNDY,f,English (Rare),"This name can refer either to the region in France, the wine (which derives from the name of the region), or the colour (which derives from the name of the wine)."
BURKE,m,English,"From an English surname that was derived from Old English burg meaning ""fortress""."
BURT,m,English,Short form of BURTON.
BURTON,m,English,"From a surname that was originally taken from an Old English place name meaning ""fortified town"". A famous bearer of the surname was Sir Richard Burton (1821-1890), an explorer of Africa and Asia."
BUSTER,m,English,"Originally a nickname denoting a person who broke things, from the word bust, a dialectal variant of burst. A famous bearer was the silent movie star Buster Keaton (1895-1966)."
BYRNE,m,English (Rare),"From an Irish surname that was derived from Ó Broin meaning ""descendant of BRAN (1)""."
BYRON,m,English,"From a surname that was originally from a place name meaning ""place of the cow sheds"" in Old English. This was the surname of the romantic poet Lord Byron (1788-1824), the writer of Don Juan and many other works."
BYSSHE,m,English (Rare),"From an English surname, a variant of the surname Bush, which originally indicated a person who lived near a bush. This was the middle name of the romantic poet Percy Bysshe Shelley (1792-1822)."
CADE,m,English,"From a surname that was originally derived from a nickname meaning ""round"" in Old English."
CADEN,m,English (Modern),"Sometimes explained as a derivative of the Irish surname Caden, which is a reduced form of the Irish Gaelic Mac Cadáin meaning ""son of Cadán"". In actuality, its popularity in America beginning in the 1990s is due to its sound - it shares its fashionable den suffix sound with other popular names like Hayden, Aidan and Braden."
CADENCE,f,English (Modern),"From an English word meaning ""rhythm, flow"". It has been in use only since the 20th century."
CAELAN,m & f,English (Rare),Anglicized form of CAOLÁN or CAOILFHIONN.
CAELIE,f,English (Rare),Variant of KAYLEE.
CAETLIN,f,English (Rare),Variant of CAITLIN.
CAIDEN,m,English (Modern),Variant of CADEN.
CAILEIGH,f,English (Rare),Variant of KAYLEIGH.
CAILIN,f,English (Rare),"Variant of KAYLYN. It also coincides with the Irish word cailín meaning ""girl""."
CAILYN,f,English (Modern),Variant of KAYLYN.
CAIRO,m,English (Modern),"From the name of the city in Egypt, called القاهرة (al-Qahirah) in Arabic, meaning ""the victorious""."
CAITLIN,f,"Irish, English",Anglicized form of CAITLÍN.
CAITLYN,f,English (Modern),Variant of CAITLIN.
CAL,m,English,Short form of CALVIN.
CALANTHE,f,English (Rare),"From the name of a type of orchid, ultimately meaning ""beautiful flower"", derived from Greek καλός (kalos) meaning ""beautiful"" and ἄνθος (anthos) meaning ""flower""."
CALANTHIA,f,English (Rare),Elaborated form of CALANTHE.
CALE,m,English,Short form of CALEB.
CALEB,m,"English, Biblical","Most likely related to Hebrew כֶּלֶב (kelev) meaning ""dog"". An alternate theory connects it to Hebrew כָּל (kal) meaning ""whole, all of"" and לֵב (lev) meaning ""heart"". In the Old Testament this is the name of one of the twelve spies sent by Moses into Canaan. Of the Israelites who left Egypt with Moses, Caleb and Joshua were the only ones who lived to see the Promised Land.... [more]"
CALEIGH,f,English (Modern),Variant of KAYLEIGH or CALLIE.
CALI (1),f,English (Modern),Variant of CALLIE.
CALISTA,f,"English, Portuguese, Spanish",Feminine form of CALLISTUS. As an English name it might also be a variant of KALLISTO.
CALLA,f,English,"From the name of a type of lily, of Latin origin. Use of the name may also be inspired by Greek κάλλος (kallos) meaning ""beauty""."
CALLAHAN,m,English,"From a surname, the Anglicized form of the Irish Ó Ceallacháin, which means ""descendant of CEALLACHÁN""."
CALLAN,m,English,"From a surname, the Anglicized form of the Irish Ó Cathaláin, which means ""descendant of CATHALÁN""."
CALLEIGH,f,English (Modern),Variant of CALLIE.
CALLIE,f,English,"Diminutive of CAROLINE, or sometimes of names beginning with Cal."
CALLISTA,f,English (Rare),Variant of CALISTA.
CALVIN,m,English,"Derived from the French surname Cauvin, which was derived from chauve meaning ""bald"". The surname was borne by Jean Cauvin (1509-1564), a theologian from France who was one of the leaders of the Protestant Reformation. His surname was Latinized as Calvinus (based on Latin calvus ""bald"") and he is known as John Calvin in English. It has been used as a given name in his honour since the 19th century."
CAM (2),m & f,English,Short form of CAMERON.
CAMDEN,m,English (Modern),"From a surname that was derived from a place name, perhaps meaning ""enclosed valley"" in Old English. A famous bearer of the surname was the English historian William Camden (1551-1623)."
CAMELLIA,f,English (Rare),"From the name of the flowering shrub, which was named for the botanist and missionary Georg Josef Kamel."
CAMERON,m & f,English,"From a Scottish surname meaning ""crooked nose"" from Gaelic cam ""crooked"" and sròn ""nose""."
CAMILLA,f,"English, Italian, Danish, Swedish, Norwegian, Finnish, German, Ancient Roman, Roman Mythology","Feminine form of CAMILLUS. This was the name of a legendary warrior maiden of the Volsci, as told by Virgil in the Aeneid. It was popularized in the English-speaking world by Fanny Burney's novel Camilla (1796)."
CAMILLE,f & m,"French, English","French feminine and masculine form of CAMILLA. It is also used in the English-speaking world, where it is generally only feminine."
CAMMIE,f,English,Diminutive of CAMILLA.
CAMPBELL,m & f,English,"From a Scottish surname meaning ""crooked mouth"" from Gaelic cam ""crooked"" and béul ""mouth""."
CAMRON,m,English (Modern),Variant of CAMERON.
CAMRYN,f & m,English (Modern),Variant of CAMERON.
CANDACE,f,"English, Biblical, Biblical Latin","From the hereditary title of the queens of Ethiopia, as mentioned in Acts in the New Testament. It is apparently derived from Cushitic kdke meaning ""queen mother"". In some versions of the Bible it is spelled Kandake, reflecting the Greek spelling Κανδάκη. It was used as a given name by the Puritans after the Protestant Reformation. It was popularized in the 20th century by a character in the 1942 movie Meet the Stewarts."
CANDI,f,English,Variant of CANDY.
CANDICE,f,English,Variant of CANDACE.
CANDIDA,f,"Late Roman, English","Late Latin name derived from candidus meaning ""white"". This was the name of several early saints, including a woman supposedly healed by Saint Peter. As an English name, it came into use after George Bernard Shaw's play Candida (1898)."
CANDIS,f,English,Variant of CANDACE.
CANDY,f,English,Diminutive of CANDACE. It is also influenced by the English word candy.
CANDYCE,f,English,Variant of CANDACE.
CAPRICE,f,English,"From the English word meaning ""impulse"", ultimately (via French) from Italian capriccio."
CAPRICIA,f,English (Rare),Elaborated form of CAPRICE.
CARA,f,English,"From an Italian word meaning ""beloved"". It has been used as a given name since the 19th century, though it did not become popular until after the 1950s."
CAREEN,f,English (Rare),Variant of CARREEN.
CAREN,f,English,Variant of KAREN (1).
CAREY,m & f,English,"From an Irish surname that was derived from Ó Ciardha meaning ""descendant of CIARDHA""."
CARI,f,English,Variant of CARRIE.
CARINA (1),f,"English, Portuguese, Spanish, German, Late Roman","Late Latin name derived from cara meaning ""dear, beloved"". This was the name of a 4th-century saint and martyr. It is also the name of a constellation in the southern sky, though in this case it means ""keel"" in Latin, referring to a part of Jason's ship the Argo."
CARIS,f,English (Rare),Variant of CHARIS.
CARISSA,f,English,Variant of CHARISSA.
CARL,m,"German, Swedish, Norwegian, Danish, English","German form of CHARLES. Two noteworthy bearers of the name were the German mathematician Carl Gauss (1777-1855), who made contributions to number theory and algebra as well as physics and astronomy, and the Swiss psychologist Carl Jung (1875-1961), who founded analytical psychology. It was imported to America in the 19th century by German immigrants."
CARLA,f,"Italian, Portuguese, Spanish, Catalan, English, German, Dutch","Feminine form of CARLO, CARLOS or CARL."
CARLENE,f,English,Feminine diminutive of CARL.
CARLETON,m,English,Variant of CHARLTON.
CARLEY,f,English (Modern),Feminine form of CARL.
CARLIE,f,English,Feminine form of CARL.
CARLISA,f,English (Rare),Combination of CARLA and LISA.
CARLISLE,m,English (Rare),"From a surname that was derived from the name of a city in northern England. The city was originally called by the Romans Luguvalium meaning ""stronghold of LUGUS"". Later the Brythonic element ker ""fort"" was appended to the name of the city."
CARLTON,m,English,Variant of CHARLTON.
CARLY,f,English,Feminine form of CARL.
CARLYLE,m,English,Variant of CARLISLE.
CARLYN,f,English,Contracted variant of CAROLINE.
CARMEL,f,"English, Jewish","From the title of the Virgin Mary Our Lady of Carmel. כַּרְמֶל (Karmel) (meaning ""garden"" in Hebrew) is a mountain in Israel mentioned in the Old Testament. It was the site of several early Christian monasteries. As an English given name, it has mainly been used by Catholics."
CARMELLA,f,English,Latinized form of CARMEL.
CARMEN,f,"Spanish, English, Italian, Romanian","Medieval Spanish form of CARMEL influenced by the Latin word carmen ""song"". This was the name of the main character in George Bizet's opera Carmen (1875)."
CAROL (1),f & m,English,"Short form of CAROLINE. It was formerly a masculine name, derived from CAROLUS. The name can also be given in reference to the English vocabulary word, which means ""song"" or ""hymn""."
CAROLINA,f,"Italian, Spanish, Portuguese, English, Swedish","Latinate feminine form of CAROLUS. This is the name of two American states: North and South Carolina. They were named for Charles I, king of England."
CAROLINE,f,"French, English, German, Swedish, Norwegian, Danish, Dutch",French feminine form of CAROLUS.
CAROLYN,f,English,Variant of CAROLINE.
CARRAN,m,English (Rare),"From an Irish surname, an Anglicized form of the Gaelic surname Ó Corraidhín meaning ""descendant of CORRAIDHÍN""."
CARREEN,f,English (Rare),"Used by Margaret Mitchell in her novel Gone with the Wind (1936), where it is a combination of CAROLINE and IRENE."
CARRIE,f,English,Diminutive of CAROLINE.
CARROL,m & f,English,Variant of CARROLL (masculine) or CAROL (1) (feminine).
CARRY,f,English,Diminutive of CAROLINE.
CARSON,m & f,English,From a Scottish surname of uncertain meaning. A famous bearer of the surname was the American scout Kit Carson (1809-1868).
CARTER,m,English,"From an English surname that meant ""one who uses a cart"". A famous bearer of the surname is former American president Jimmy Carter (1924-)."
CARVER,m,English (Rare),"From an English surname that meant ""wood carver""."
CARY,m & f,English,Variant of CAREY. A famous bearer was the British-American actor Cary Grant (1904-1986).
CARYL,f,English,Variant of CAROL (1).
CARYN,f,English,Variant of KAREN (1).
CASE,m,English (Modern),Short form of CASEY.
CASEY,m & f,"English, Irish","From an Irish surname, an Anglicized form of Ó Cathasaigh meaning ""descendant of CATHASACH"". This name can be given in honour of Casey Jones (1863-1900), a train engineer who sacrificed his life to save his passengers. In his case, Casey was a nickname acquired because he was raised in the town of Cayce, Kentucky."
CASH,m,English,"From an English occupational surname for a box maker, derived from Norman French casse meaning ""case"". A famous bearer of the surname was American musician Johnny Cash (1932-2003)."
CASIMIR,m,"English, French","English form of the Polish name Kazimierz, derived from the Slavic element kaziti ""to destroy"" combined with miru ""peace, world"". Four kings of Poland have borne this name, including Casimir III the Great, who greatly strengthened the Polish state in the 14th century. It was also borne Saint Casimir, a 15th-century Polish prince and a patron saint of Poland and Lithuania. The name was imported into Western Europe via Germany, where it was borne by some royalty."
CASON,m,English (Modern),"From a surname derived from the English place name Cawston, itself derived from the Old Norse given name KÁLFR combined with Old English tun meaning ""enclosure, yard, town""."
CASS,f & m,English,"Short form of CASSANDRA, CASSIDY, and other names beginning with Cass."
CASSANDRA,f,"English, Portuguese, Italian, French, German, Greek Mythology (Latinized)","From the Greek name Κασσάνδρα (Kassandra), derived from possibly κέκασμαι (kekasmai) meaning ""to excel, to shine"" and ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός). In Greek myth Cassandra was a Trojan princess, the daughter of Priam and Hecuba. She was given the gift of prophecy by Apollo, but when she spurned his advances he cursed her so nobody would believe her prophecies.... [more]"
CASSARAH,f,English (Rare),"Recently created name intended to mean ""what will be, will be"". It is from the title of the 1956 song Que Sera, Sera, which was taken from the Italian phrase che sarà sarà. The phrase que sera, sera is not grammatically correct in any Romance language."
CASSIDY,f & m,English (Modern),"From an Irish surname that was derived from Ó Caiside meaning ""descendant of CAISIDE""."
CASSIE,f,English,Diminutive of CASSANDRA and other names beginning with Cass.
CAT,f & m,English,Diminutive of CATHERINE. It can also be a nickname from the English word for the animal.
CATE,f,English (Rare),Variant of KATE. A famous bearer is Australian actress Cate Blanchett (1969-).
CATHARINE,f,English,Variant of KATHERINE.
CATHERIN,f,English (Rare),Variant of KATHERINE.
CATHERINA,f,English (Rare),Variant of KATHERINE.
CATHERINE,f,"French, English","French form of KATHERINE, and also a common English variant."
CATHLEEN,f,"Irish, English",Variant of KATHLEEN.
CATHRYN,f,English,Variant of KATHERINE.
CATHY,f,English,Diminutive of CATHERINE.
CAVAN,m,English,"Either from the name of the Irish county, which is derived from Irish cabhán ""hollow"", or else from the Irish surname CAVAN."
CAYDEN,m,English (Modern),Variant of CADEN.
CAYLEY,f,English (Rare),Variant of KAYLEE.
CAYSON,m,English (Modern),Variant of CASON.
CEARA,f,English (Rare),Variant of CIARA (2).
CEARRA,f,English (Rare),Variant of CIARA (2).
CECE,f,English,Diminutive of CECILIA and other names containing a similar sound.
CECELIA,f,English,Variant of CECILIA.
CECIL,m,English,"From the Roman name Caecilius (see CECILIA). This was the name of a 3rd-century saint, a companion of Saint Cyprian. Though it was in use during the Middle Ages in England, it did not become common until the 19th century when it was given in honour of the noble Cecil family, who had been prominent since the 16th century. Their surname was derived from the Welsh given name Seisyll, which was derived from the Roman name Sextilius, a derivative of SEXTUS."
CECILIA,f,"English, Italian, Spanish, Swedish, Danish, Norwegian, Dutch, Romanian, Finnish","Latinate feminine form of the Roman family name Caecilius, which was derived from Latin caecus meaning ""blind"". Saint Cecilia was a semi-legendary 2nd- or 3rd-century martyr who was sentenced to die because she refused to worship the Roman gods. After attempts to suffocate her failed, she was beheaded. She was later regarded as the patron saint of music and musicians.... [more]"
CECILY,f,English,English form of CECILIA. This was the usual English form during the Middle Ages.
CEDAR,f & m,English (Rare),"From the English word for the coniferous tree, derived (via Old French and Latin) from Greek κέδρος (kedros)."
CEDRIC,m,English,"Invented by Sir Walter Scott for a character in his novel Ivanhoe (1819). Apparently he based it on the actual name Cerdic, the name of the semi-legendary founder of the kingdom of Wessex in the 6th century. The meaning of Cerdic is uncertain, but it does not appear to be Old English in origin. It could be connected to the Brythonic name CARATACOS. The name was also used by Frances Hodgson Burnett for the main character in her novel Little Lord Fauntleroy (1886)."
CELANDINE,f,English (Rare),"From the name of the flower, which is derived from Greek χελιδών (chelidon) meaning ""swallow (bird)""."
CELESTE,f & m,"Italian, English",Italian feminine and masculine form of CAELESTIS. It is also the English feminine form.
CELESTINE,f & m,English,"English form of CAELESTINUS. It is more commonly used as a feminine name, from the French feminine form Célestine."
CELIA,f,"English, Spanish","Feminine form of the Roman family name CAELIUS. Shakespeare used it in his play As You Like It (1599), which introduced the name to the English-speaking public at large. It is sometimes used as a short form of CECILIA."
CELINDA,f,English (Rare),"Probably a blend of CELIA and LINDA. This is also the Spanish name for a variety of shrub with white flowers, known as sweet mock-orange in English (species Philadelphus coronarius)."
CELINE,f,"German, English",Variant of CÉLINE.
CHAD,m,English,"From the Old English name Ceadda, which is of unknown meaning, possibly based on Welsh cad ""battle"". This was the name of a 7th-century English saint. Borne primarily by Catholics, it was a rare name until the 1960s when it started to become more common amongst the general population. This is also the name of a country in Africa, though it originates from a different source."
CHADWICK,m,English,"From a surname that was derived from the name of towns in England, meaning ""settlement belonging to CHAD"" in Old English."
CHALICE,f,English (Rare),"Means simply ""chalice, goblet"" from the English word, derived from Latin calix."
CHANCE,m,English,"Originally a diminutive of CHAUNCEY. It is now usually given in reference to the English word chance meaning ""luck, fortune"" (ultimately derived from Latin cadens ""falling"")."
CHANDLER,m & f,English,"From an occupational surname that meant ""candle seller"" in Middle English, ultimately from Old French."
CHANEL,f,English,"From a French surname that meant either ""channel"", indicating a person who lived near a channel of water, or ""jug, jar, bottle"", indicating a manufacturer of jugs. It has been used as an American given name since 1970s, influenced by the Chanel brand name (a line of women's clothing and perfume), which was named for French fashion designer Coco Chanel (1883-1971)."
CHANELLE,f,English (Modern),Variant of CHANEL.
CHANNING,m & f,English (Modern),From an English surname of uncertain origin.
CHANTAL,f,"French, English, Dutch","From a French surname that was derived from a place name meaning ""stony"". It was originally given in honour of Saint Jeanne-Françoise de Chantal, the founder of the Visitation Order in the 17th century. It has become associated with French chant ""song""."
CHANTÉ,f,English (Modern),"Means ""sung"" in French."
CHANTEL,f,English,Variant of CHANTAL.
CHANTELLE,f,English,Variant of CHANTAL.
CHARIS,f,"Ancient Greek, English (Rare)",Feminine form of CHARES. It came into use as an English given name in the 17th century.
CHARISMA,f,English (Rare),"From the English word meaning ""personal magnetism"", ultimately derived from Greek χάρις (charis) meaning ""grace, kindness""."
CHARISSA,f,English,Elaborated form of CHARIS. Edmund Spencer used it in his epic poem The Faerie Queene (1590).
CHARISSE,f,English,From a French surname of unknown meaning. It was used as a given name in honour of American actress and dancer Cyd Charisse (1921-2008).
CHARITY,f,English,"From the English word charity, ultimately derived from Late Latin caritas meaning ""generous love"", from Latin carus ""dear, beloved"". Caritas was in use as a Roman Christian name. The English name Charity came into use among the Puritans after the Protestant Reformation."
CHARLA,f,English,Feminine form of CHARLES.
CHARLEE,f,English (Modern),Feminine form of CHARLES.
CHARLEEN,f,English,Variant of CHARLENE.
CHARLEIGH,f,English (Modern),Feminine form of CHARLES.
CHARLENE,f,English,Feminine diminutive of CHARLES.
CHARLES,m,"English, French","From the Germanic name Karl, which was derived from a Germanic word meaning ""man"". However, an alternative theory states that it is derived from the common Germanic name element hari meaning ""army, warrior"".... [more]"
CHARLEY,m & f,English,Diminutive or feminine form of CHARLES.
CHARLI,f,English,Strictly feminine form of CHARLIE.
CHARLIE,m & f,English,"Diminutive or feminine form of CHARLES. A famous bearer was the British comic actor Charlie Chaplin (1889-1977). It is also borne by Charlie Brown, the main character in the comic strip Peanuts by Charles Schulz."
CHARLOTTE,f,"French, English, German, Swedish, Norwegian, Danish, Dutch","French feminine diminutive of CHARLES. It was introduced to Britain in the 17th century. It was the name of a German-born 18th-century queen consort of Great Britain and Ireland. Another notable bearer was Charlotte Brontë (1816-1855), the eldest of the three Brontë sisters and the author of Jane Eyre and Villette.... [more]"
CHARLTON,m,English,"From a surname that was originally from a place name meaning ""settlement of free men"" in Old English."
CHARMAINE,f,English,"Meaning unknown, perhaps a combination of CHARMIAN or the English word charm with the aine suffix from LORRAINE. It was (first?) used for a character in the play What Price Glory (1924), which was made into a popular movie in 1926."
CHARMIAN,f,English (Rare),Form of CHARMION used by Shakespeare in his play Antony and Cleopatra (1606).
CHARNETTE,f,English (Rare),Probably an invented name.
CHAS,m,English,Diminutive of CHARLES.
CHASE,m,English,"From a surname meaning ""chase, hunt"" in Middle English, originally a nickname for a huntsman."
CHASITY,f,English,Variant of CHASTITY.
CHASTITY,f,English,"From the English word chastity, which is ultimately from Latin castus ""pure"". It was borne by the daughter of Sonny Bono and Cher, which probably led to the name's increase in popularity during the 1970s."
CHAUNCEY,m,English,From a Norman surname of unknown meaning. It was used as a given name in American in honour of Harvard president Charles Chauncey (1592-1672).
CHAZ,m,English,Diminutive of CHARLES.
CHELLE,f,English,Diminutive of MICHELLE.
CHELSEA,f,English,"From the name of a district in London, originally derived from Old English and meaning ""landing place for chalk or limestone"". It has been in general use as an English given name since the 1970s."
CHELSEY,f,English (Modern),Variant of CHELSEA.
CHELSIE,f,English (Modern),Variant of CHELSEA.
CHER,f,English,"Short form of CHERYL. In the case of the American musician Cher (1946-), it is short for her real name CHERILYN."
CHERETTE,f,English (Rare),Diminutive of CHERIE.
CHERI,f,English,Variant of CHERIE.
CHERICE,f,English (Rare),Variant of CHARISSE.
CHERIE,f,English,"Derived from French chérie meaning ""darling"". In America, Cherie came into use shortly after the variant Sherry, and has not been as common."
CHERILYN,f,English,Combination of CHERYL and the popular name suffix lyn.
CHERISE,f,English,Variant of CHARISSE.
CHERISH,f,English,"From the English word meaning ""to treasure""."
CHEROKEE,f & m,English (Rare),"Probably derived from the Creek word tciloki meaning ""people of a different speech"". This is the name of a Native American people who live in the east of North America."
CHERRY,f,English,"Simply means ""cherry"" from the name of the fruit. It can also be a diminutive of CHARITY. It has been in use since the late 19th century."
CHERRYL,f,English,Variant of CHERYL.
CHERYL,f,English,"Elaboration of CHERIE, perhaps influenced by BERYL. This name was not used before the 20th century."
CHESLEY,m & f,English (Rare),"From a surname that was originally from a place name meaning ""camp meadow"" in Old English."
CHESTER,m,English,"From a surname that originally belonged to a person who came from Chester, an old Roman settlement in Britain. The name of the settlement came from Latin castrum ""camp, fortress""."
CHET,m,English,Short form of CHESTER.
CHEYANNE,f,English (Modern),Variant of CHEYENNE probably influenced by the name ANNE (1).
CHEYENNE,f & m,English,"Derived from the Dakota word shahiyena meaning ""red speakers"". This is the name of a Native American people of the Great Plains. The name was supposedly given to the Cheyenne by the Dakota because their language was unrelated to their own. As a given name, it has been in use since the 1950s."
CHILE,m,English (Rare),Variant of KYLE.
CHINA,f,English (Modern),"From the name of the Asian country, ultimately derived from Qin, the name of a dynasty that ruled there in the 3rd century BC."
CHIP,m,English,"Diminutive of CHARLES or CHRISTOPHER. It can also be from a nickname given in reference to the phrase a chip off the old block, used of a son who is similar to his father."
CHLOE,f,"English, Biblical, Biblical Latin, Biblical Greek, Ancient Greek, Greek Mythology","Means ""green shoot"" in Greek, referring to new plant growth in the spring. This was an epithet of the Greek goddess Demeter. The name is also mentioned by Paul in one of his epistles in the New Testament. As an English name, Chloe has been in use since the Protestant Reformation."
CHLOË,f,"Dutch, English",Dutch form and English variant of CHLOE.
CHRIS,m & f,"English, Dutch, German, Danish","Short form of CHRISTOPHER, CHRISTIAN, CHRISTINE, and other names that begin with Chris."
CHRISSIE,f,English,Diminutive of CHRISTINE or CHRISTINA.
CHRISSY,f,English,Diminutive of CHRISTINE or CHRISTINA.
CHRISTA,f,"German, Danish, English",Short form of CHRISTINA.
CHRISTABEL,f,English (Rare),"Combination of CHRISTINA and the name suffix bel. This name occurs in medieval literature, and was later used in 1800 by Samuel Coleridge in his poem Christabel."
CHRISTABELLA,f,English (Rare),Latinate form of CHRISTABEL.
CHRISTABELLE,f,English (Rare),Variant of CHRISTABEL.
CHRISTAL,f,English,Variant of CRYSTAL.
CHRISTEN (2),f,English,Variant of KRISTIN.
CHRISTI,f,English,Diminutive of CHRISTINE or CHRISTINA.
CHRISTIAN,m,"English, French, German, Swedish, Norwegian, Danish","From the medieval Latin name Christianus meaning ""a Christian"" (see CHRISTOS (1)). In England it has been in use since the Middle Ages, during which time it was used by both males and females, but it did not become common until the 17th century. In Denmark the name has been borne by ten kings since the 15th century. A famous bearer was Hans Christian Andersen (1805-1875), the Danish author of such fairy tales as The Ugly Duckling and The Emperor's New Clothes."
CHRISTIANA,f,"English, Late Roman",Latin feminine form of CHRISTIAN.
CHRISTIANNE,f,English (Rare),Feminine form of CHRISTIAN.
CHRISTIE (1),f,English,Diminutive of CHRISTINE or CHRISTINA.
CHRISTINA,f,"English, German, Swedish, Norwegian, Danish, Dutch, Greek","From Christiana, the Latin feminine form of CHRISTIAN. This was the name of an early, possibly legendary, saint who was tormented by her pagan father. It was also borne by a 17th-century Swedish queen and patron the arts who gave up her crown in order to become a Roman Catholic."
CHRISTINE,f,"French, English, German, Swedish, Norwegian, Danish, Dutch","French form of CHRISTINA, as well as a variant in other languages."
